market_hash_name,mean_price_usd,volatility,spike_count,risk_score_LogReg,safe_price_usd_LogReg
Souvenir Charm | Austin 2025 Highlight | zont1x Triple Kill,0.625,,43,0.9999999183817754,0.4687500127528476
Souvenir MP5-SD | Dirt Drop (Factory New),1.2,,43,0.9999999181946662,0.9000000245416002
SCAR-20 | Wild Berry (Well-Worn),0.2945205479452055,,43,0.9999999174833797,0.22089041703461418
Sticker | br0 (Holo) | Austin 2025,0.920863309352518,,43,0.9999999174795905,0.6906475010118929
Dual Berettas | Twin Turbo (Well-Worn),0.24,,43,0.9999999174264101,0.18000000495441537
MP9 | Dart (Factory New),1.106666666666667,,43,0.9999999173272549,0.830000022872793
Sticker | yxngstxr (Holo) | Austin 2025,0.6095890410958904,,43,0.9999999169694787,0.45719179347554173
Dual Berettas | Melondrama (Well-Worn),0.2533333333333333,,43,0.9999999168169211,0.19000000526826166
StatTrak™ MP5-SD | Desert Strike (Factory New),0.4,,43,0.999999916780677,0.3000000083219323
P2000 | Turf (Factory New),0.7266666666666667,,43,0.9999999167571012,0.54500001512246
M4A1-S | Emphorosaur-S (Minimal Wear),0.1466666666666666,,43,0.9999999159623354,0.110000003081381
Sticker | Retake Expert (Holo),0.4965986394557823,,43,0.999999915498148,0.37244899008271287
Sticker | Falcons (Foil) | Austin 2025,1.56,,42,0.9999998715685697,1.170000050088258
Dual Berettas | Balance (Battle-Scarred),0.2550335570469799,,42,0.9999998701592818,0.19127517606366998
P90 | Traction (Factory New),0.78,,42,0.9999998695453226,0.5850000254386621
Nova | Plume (Field-Tested),0.6266666666666667,,42,0.999999869429266,0.47000002045608164
StatTrak™ M249 | System Lock (Minimal Wear),0.2533333333333333,,42,0.9999998693866958,0.19000000827217592
Souvenir SSG 08 | Carbon Fiber (Factory New),0.5733333333333334,,42,0.9999998693610441,0.430000018724917
Sticker | Heavygod (Gold) | Austin 2025,1.9933333333333332,,42,0.9999998692399223,1.4950000651621052
StatTrak™ P2000 | Oceanic (Factory New),0.74,,42,0.9999998692172536,0.5550000241948081
